"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903265","BP","GO:1903265","positive regulation of tumor necrosis factor-mediated signaling pathway","2/8","11/18723",8.76976119371187e-06,0.00029863344696482,0.000107374915446555,"HSPA1A/HSPA1B",2
"GO:0009408","BP","GO:0009408","response to heat","3/8","110/18723",1.08155849568506e-05,0.000349884173354117,0.000125802330287578,"HSPA6/HSPA1A/HSPA1B",3
"GO:0070424","BP","GO:0070424","regulation of nucleotide-binding oligomerization domain containing signaling pathway","2/8","13/18723",1.24318010465369e-05,0.000373100330596796,0.000134149797546395,"HSPA1A/HSPA1B",2
"GO:0035967","BP","GO:0035967","cellular response to topologically incorrect protein","3/8","116/18723",1.26865645643424e-05,0.000373100330596796,0.000134149797546395,"HSPA6/HSPA1A/HSPA1B",3
"GO:0016032","BP","GO:0016032","viral process","4/8","415/18723",1.55195507978259e-05,0.000436571711573625,0.000156971200289223,"ZC3H12A/HSPA1A/HSPA1B/CXCL8",4
"GO:0070431","BP","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","2/8","16/18723",1.91135889189516e-05,0.000515270501273404,0.000185267682065277,"HSPA1A/HSPA1B",2
"GO:0006979","BP","GO:0006979","response to oxidative stress","4/8","446/18723",2.06122865278376e-05,0.000533445975340437,0.000191802750427457,"ZC3H12A/DUSP1/HSPA1A/HSPA1B",4
"GO:0090083","BP","GO:0090083","regulation of inclusion body assembly","2/8","17/18723",2.16574381782394e-05,0.000538937019281572,0.000193777078436879,"HSPA1A/HSPA1B",2
"GO:1901673","BP","GO:1901673","regulation of mitotic spindle assembly","2/8","18/18723",2.43594110730577e-05,0.000583723665343272,0.000209880305931608,"HSPA1A/HSPA1B",2
"GO:0044409","BP","GO:0044409","entry into host","3/8","151/18723",2.79563809503728e-05,0.000645992088388971,0.000232269180076406,"HSPA1A/HSPA1B/CXCL8",3
"GO:0052126","BP","GO:0052126","movement in host environment","3/8","175/18723",4.34272088593188e-05,0.000935055015680224,0.000336202974807337,"HSPA1A/HSPA1B/CXCL8",3
"GO:0070841","BP","GO:0070841","inclusion body assembly","2/8","24/18723",4.38861497615231e-05,0.000935055015680224,0.000336202974807337,"HSPA1A/HSPA1B",2
"GO:0009266","BP","GO:0009266","response to temperature stimulus","3/8","178/18723",4.56848396977084e-05,0.000935055015680224,0.000336202974807337,"HSPA6/HSPA1A/HSPA1B",3
"GO:0070423","BP","GO:0070423","nucleotide-binding oligomerization domain containing signaling pathway","2/8","25/18723",4.76921414489141e-05,0.000935055015680224,0.000336202974807337,"HSPA1A/HSPA1B",2
"GO:0090169","BP","GO:0090169","regulation of spindle assembly","2/8","25/18723",4.76921414489141e-05,0.000935055015680224,0.000336202974807337,"HSPA1A/HSPA1B",2
"GO:0035872","BP","GO:0035872","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","2/8","26/18723",5.16554439311712e-05,0.000982972712454934,0.000353431984792224,"HSPA1A/HSPA1B",2
"GO:0051701","BP","GO:0051701","biological process involved in interaction with host","3/8","203/18723",6.75651118765254e-05,0.00124898935383177,0.000449079390216906,"HSPA1A/HSPA1B/CXCL8",3
"GO:0031116","BP","GO:0031116","positive regulation of microtubule polymerization","2/8","33/18723",8.37947492858975e-05,0.00139013340481989,0.000499828329073775,"HSPA1A/HSPA1B",2
"GO:0045648","BP","GO:0045648","positive regulation of erythrocyte differentiation","2/8","33/18723",8.37947492858975e-05,0.00139013340481989,0.000499828329073775,"HSPA1A/HSPA1B",2
"GO:1901099","BP","GO:1901099","negative regulation of signal transduction in absence of ligand","2/8","33/18723",8.37947492858975e-05,0.00139013340481989,0.000499828329073775,"HSPA1A/HSPA1B",2
"GO:2001240","BP","GO:2001240","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","2/8","33/18723",8.37947492858975e-05,0.00139013340481989,0.000499828329073775,"HSPA1A/HSPA1B",2
"GO:0007020","BP","GO:0007020","microtubule nucleation","2/8","35/18723",9.43874309262727e-05,0.00148947970266581,0.000535548709491817,"HSPA1A/HSPA1B",2
"GO:0060236","BP","GO:0060236","regulation of mitotic spindle organization","2/8","35/18723",9.43874309262727e-05,0.00148947970266581,0.000535548709491817,"HSPA1A/HSPA1B",2
"GO:0006402","BP","GO:0006402","mRNA catabolic process","3/8","232/18723",0.00010045412046215,0.00154747180807169,0.00055640001559236,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0031112","BP","GO:0031112","positive regulation of microtubule polymerization or depolymerization","2/8","37/18723",0.00010560530625373,0.00158899146851543,0.000571328584628502,"HSPA1A/HSPA1B",2
"GO:1903320","BP","GO:1903320","regulation of protein modification by small protein conjugation or removal","3/8","242/18723",0.000113843322007684,0.00167401430315844,0.000601898903437754,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0090224","BP","GO:0090224","regulation of spindle organization","2/8","39/18723",0.00011744756731396,0.00168863502338071,0.00060715584506164,"HSPA1A/HSPA1B",2
"GO:2001239","BP","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","2/8","43/18723",0.000143002018064659,0.00201135447147465,0.000723190983805253,"HSPA1A/HSPA1B",2
"GO:0062208","BP","GO:0062208","positive regulation of pattern recognition receptor signaling pathway","2/8","44/18723",0.000149779611208639,0.00206185975429765,0.000741350371267845,"HSPA1A/HSPA1B",2
"GO:0010803","BP","GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway","2/8","47/18723",0.000171044332535322,0.00217708696858298,0.00078278080217496,"HSPA1A/HSPA1B",2
"GO:0045646","BP","GO:0045646","regulation of erythrocyte differentiation","2/8","47/18723",0.000171044332535322,0.00217708696858298,0.00078278080217496,"HSPA1A/HSPA1B",2
"GO:1900744","BP","GO:1900744","regulation of p38MAPK cascade","2/8","47/18723",0.000171044332535322,0.00217708696858298,0.00078278080217496,"ZC3H12A/DUSP1",2
"GO:0006401","BP","GO:0006401","RNA catabolic process","3/8","278/18723",0.000171609637399895,0.00217708696858298,0.00078278080217496,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0140014","BP","GO:0140014","mitotic nuclear division","3/8","287/18723",0.000188543396585011,0.00232087112519879,0.000834479002145826,"DUSP1/HSPA1A/HSPA1B",3
"GO:0034599","BP","GO:0034599","cellular response to oxidative stress","3/8","288/18723",0.000190489578312321,0.00232087112519879,0.000834479002145826,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0001961","BP","GO:0001961","positive regulation of cytokine-mediated signaling pathway","2/8","50/18723",0.000193704854344257,0.00232087112519879,0.000834479002145826,"HSPA1A/HSPA1B",2
"GO:0031113","BP","GO:0031113","regulation of microtubule polymerization","2/8","55/18723",0.000234566801955848,0.00271008430116846,0.000974422241207563,"HSPA1A/HSPA1B",2
"GO:0038066","BP","GO:0038066","p38MAPK cascade","2/8","55/18723",0.000234566801955848,0.00271008430116846,0.000974422241207563,"ZC3H12A/DUSP1",2
"GO:0060760","BP","GO:0060760","positive regulation of response to cytokine stimulus","2/8","57/18723",0.000251992283779051,0.00286033346675519,0.00102844496242235,"HSPA1A/HSPA1B",2
"GO:0002753","BP","GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","2/8","60/18723",0.000279285897242935,0.00311548233648584,0.00112018481471304,"HSPA1A/HSPA1B",2
"GO:0032757","BP","GO:0032757","positive regulation of interleukin-8 production","2/8","62/18723",0.000298250732402838,0.00326359091129528,0.00117343787748517,"HSPA1A/HSPA1B",2
"GO:0062197","BP","GO:0062197","cellular response to chemical stress","3/8","337/18723",0.000302651398265405,0.00326359091129528,0.00117343787748517,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0038034","BP","GO:0038034","signal transduction in absence of ligand","2/8","65/18723",0.000327849624775717,0.00336696360682364,0.00121060596617266,"HSPA1A/HSPA1B",2
"GO:0090307","BP","GO:0090307","mitotic spindle assembly","2/8","65/18723",0.000327849624775717,0.00336696360682364,0.00121060596617266,"HSPA1A/HSPA1B",2
"GO:0097192","BP","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","2/8","65/18723",0.000327849624775717,0.00336696360682364,0.00121060596617266,"HSPA1A/HSPA1B",2
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis","3/8","367/18723",0.000388804903399606,0.00393057457030539,0.00141325466531765,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0045862","BP","GO:0045862","positive regulation of proteolysis","3/8","372/18723",0.000404548478070472,0.00402681331248608,0.00144785771098906,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0034655","BP","GO:0034655","nucleobase-containing compound catabolic process","3/8","407/18723",0.000526438471967468,0.00508389577369615,0.00182793616852981,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0031397","BP","GO:0031397","negative regulation of protein ubiquitination","2/8","83/18723",0.000534319803108715,0.00508389577369615,0.00182793616852981,"HSPA1A/HSPA1B",2
"GO:0046785","BP","GO:0046785","microtubule polymerization","2/8","83/18723",0.000534319803108715,0.00508389577369615,0.00182793616852981,"HSPA1A/HSPA1B",2
"GO:0031110","BP","GO:0031110","regulation of microtubule polymerization or depolymerization","2/8","88/18723",0.000600408353962734,0.00559813640384618,0.00201283355608884,"HSPA1A/HSPA1B",2
"GO:0031331","BP","GO:0031331","positive regulation of cellular catabolic process","3/8","427/18723",0.000605671635655692,0.00559813640384618,0.00201283355608884,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0032436","BP","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","2/8","90/18723",0.000627901469493756,0.00572186268679522,0.00205731986298177,"HSPA1A/HSPA1B",2
"GO:0000280","BP","GO:0000280","nuclear division","3/8","439/18723",0.000656709974817896,0.00585919765843041,0.00210669923129118,"DUSP1/HSPA1A/HSPA1B",3
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity","3/8","440/18723",0.000661084125294312,0.00585919765843041,0.00210669923129118,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0046700","BP","GO:0046700","heterocycle catabolic process","3/8","445/18723",0.000683237147308067,0.00597370857173404,0.00214787211315907,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:1903321","BP","GO:1903321","negative regulation of protein modification by small protein conjugation or removal","2/8","95/18723",0.000699271576296017,0.0060323827981803,0.00216896867875677,"HSPA1A/HSPA1B",2
"GO:0044270","BP","GO:0044270","cellular nitrogen compound catabolic process","3/8","451/18723",0.000710446347618622,0.00604814193301643,0.00217463494215672,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:2001237","BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","2/8","97/18723",0.000728872473147168,0.00612442194969114,0.0022020617438896,"HSPA1A/HSPA1B",2
"GO:0033209","BP","GO:0033209","tumor necrosis factor-mediated signaling pathway","2/8","99/18723",0.000759073817643181,0.00629642000019408,0.00226390436840949,"HSPA1A/HSPA1B",2
"GO:0019439","BP","GO:0019439","aromatic compound catabolic process","3/8","467/18723",0.000786395204507175,0.00632577059279042,0.00227445749777383,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0002764","BP","GO:0002764","immune response-regulating signaling pathway","3/8","468/18723",0.00079130800820739,0.00632577059279042,0.00227445749777383,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0032677","BP","GO:0032677","regulation of interleukin-8 production","2/8","102/18723",0.000805499950191258,0.00632577059279042,0.00227445749777383,"HSPA1A/HSPA1B",2
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","3/8","472/18723",0.000811156897707821,0.00632577059279042,0.00227445749777383,"HSPA1A/HSPA1B/CXCL8",3
"GO:0032637","BP","GO:0032637","interleukin-8 production","2/8","103/18723",0.000821274698291183,0.00632577059279042,0.00227445749777383,"HSPA1A/HSPA1B",2
"GO:0045639","BP","GO:0045639","positive regulation of myeloid cell differentiation","2/8","103/18723",0.000821274698291183,0.00632577059279042,0.00227445749777383,"HSPA1A/HSPA1B",2
"GO:0046634","BP","GO:0046634","regulation of alpha-beta T cell activation","2/8","104/18723",0.000837198967786664,0.00637256155479967,0.0022912813855214,"ZC3H12A/HSPH1",2
"GO:0062207","BP","GO:0062207","regulation of pattern recognition receptor signaling pathway","2/8","105/18723",0.000853272660399659,0.0064193885032393,0.0023081182123418,"HSPA1A/HSPA1B",2
"GO:2000060","BP","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","2/8","107/18723",0.000885867922065234,0.00657111574920533,0.00236267238359128,"HSPA1A/HSPA1B",2
"GO:0048285","BP","GO:0048285","organelle fission","3/8","488/18723",0.000893752992163939,0.00657111574920533,0.00236267238359128,"DUSP1/HSPA1A/HSPA1B",3
"GO:0009896","BP","GO:0009896","positive regulation of catabolic process","3/8","492/18723",0.000915212866696661,0.00665328904216562,0.00239221813766957,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:1901361","BP","GO:1901361","organic cyclic compound catabolic process","3/8","495/18723",0.000931523298912006,0.00669661749328964,0.00240779706502402,"ZC3H12A/HSPA1A/HSPA1B",3
"GO:0071347","BP","GO:0071347","cellular response to interleukin-1","2/8","113/18723",0.000987229653312957,0.00701909434828003,0.00252374497839402,"ZC3H12A/CXCL8",2
"GO:1901800","BP","GO:1901800","positive regulation of proteasomal protein catabolic process","2/8","114/18723",0.00100464373804252,0.00706526628819035,0.00254034629413498,"HSPA1A/HSPA1B",2
"GO:0051225","BP","GO:0051225","spindle assembly","2/8","117/18723",0.00105777625607001,0.00735893803954085,0.00264593721099573,"HSPA1A/HSPA1B",2
"GO:0007052","BP","GO:0007052","mitotic spindle organization","2/8","120/18723",0.00111224211645908,0.00757495420367397,0.00272360673393305,"HSPA1A/HSPA1B",2
"GO:0030218","BP","GO:0030218","erythrocyte differentiation","2/8","120/18723",0.00111224211645908,0.00757495420367397,0.00272360673393305,"HSPA1A/HSPA1B",2
"GO:0002688","BP","GO:0002688","regulation of leukocyte chemotaxis","2/8","122/18723",0.00114929213325521,0.00766589701253735,0.00275630560444278,"DUSP1/CXCL8",2
"GO:0031109","BP","GO:0031109","microtubule polymerization or depolymerization","2/8","122/18723",0.00114929213325521,0.00766589701253735,0.00275630560444278,"HSPA1A/HSPA1B",2
"GO:0034101","BP","GO:0034101","erythrocyte homeostasis","2/8","129/18723",0.00128361339383613,0.00847446801848958,0.00304703072006214,"HSPA1A/HSPA1B",2
"GO:0019079","BP","GO:0019079","viral genome replication","2/8","131/18723",0.00132331516875148,0.00864833246648692,0.00310954441567333,"ZC3H12A/CXCL8",2
"GO:1903052","BP","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process","2/8","133/18723",0.00136360408224585,0.00882251841213066,0.0031721737071193,"HSPA1A/HSPA1B",2
"GO:0032434","BP","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","2/8","134/18723",0.00138396847306822,0.00886561982252614,0.00318767100102217,"HSPA1A/HSPA1B",2
"GO:0032273","BP","GO:0032273","positive regulation of protein polymerization","2/8","138/18723",0.00146688999860859,0.00930468459901724,0.00334553859331784,"HSPA1A/HSPA1B",2
"GO:0070555","BP","GO:0070555","response to interleukin-1","2/8","143/18723",0.00157382854939197,0.00988608807239425,0.00355458466444176,"ZC3H12A/CXCL8",2
"GO:0046718","BP","GO:0046718","viral entry into host cell","2/8","144/18723",0.00159565351032048,0.00992680597285915,0.00356922495729582,"HSPA1A/HSPA1B",2
"GO:1902850","BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","2/8","147/18723",0.00166200115381925,0.01024109282401,0.00368222812024114,"HSPA1A/HSPA1B",2
"GO:0070507","BP","GO:0070507","regulation of microtubule cytoskeleton organization","2/8","148/18723",0.0016844076331755,0.0102812428175901,0.0036966642197794,"HSPA1A/HSPA1B",2
"GO:0001959","BP","GO:0001959","regulation of cytokine-mediated signaling pathway","2/8","150/18723",0.00172965590990036,0.0104587605019209,0.00376049145192306,"HSPA1A/HSPA1B",2
"GO:2001236","BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway","2/8","151/18723",0.0017524975143158,0.0104987582570585,0.00377487281348724,"HSPA1A/HSPA1B",2
"GO:0051092","BP","GO:0051092","positive regulation of NF-kappaB transcription factor activity","2/8","152/18723",0.00177548396753,0.0105388818990083,0.0037892994381857,"HSPA1A/HSPA1B",2
"GO:1903364","BP","GO:1903364","positive regulation of cellular protein catabolic process","2/8","155/18723",0.00184531145637882,0.0108537864752463,0.00390252470679158,"HSPA1A/HSPA1B",2
"GO:0046631","BP","GO:0046631","alpha-beta T cell activation","2/8","156/18723",0.00186887634139816,0.0108933602962577,0.00391675364105257,"ZC3H12A/HSPH1",2
"GO:0002262","BP","GO:0002262","myeloid cell homeostasis","2/8","157/18723",0.00189258559371771,0.0109330614208514,0.00393102834785352,"HSPA1A/HSPA1B",2
"GO:0060759","BP","GO:0060759","regulation of response to cytokine stimulus","2/8","162/18723",0.00201329399982534,0.0115274444060796,0.00414474125720913,"HSPA1A/HSPA1B",2
"GO:2000058","BP","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","2/8","164/18723",0.00206258457002389,0.0117060720772409,0.00420896758979945,"HSPA1A/HSPA1B",2
"GO:0002221","BP","GO:0002221","pattern recognition receptor signaling pathway","2/8","172/18723",0.00226548314417046,0.0127458051676373,0.00458280800788716,"HSPA1A/HSPA1B",2
"GO:0045766","BP","GO:0045766","positive regulation of angiogenesis","2/8","181/18723",0.00250466835243854,0.013850601914767,0.00498004233818189,"ZC3H12A/CXCL8",2
"GO:1904018","BP","GO:1904018","positive regulation of vasculature development","2/8","181/18723",0.00250466835243854,0.013850601914767,0.00498004233818189,"ZC3H12A/CXCL8",2
"GO:0007051","BP","GO:0007051","spindle organization","2/8","184/18723",0.00258695572786434,0.0141844097960019,0.00510006436983067,"HSPA1A/HSPA1B",2
"GO:1902115","BP","GO:1902115","regulation of organelle assembly","2/8","186/18723",0.00264252258177514,0.0143673286588951,0.00516583361850779,"HSPA1A/HSPA1B",2
"GO:0061136","BP","GO:0061136","regulation of proteasomal protein catabolic process","2/8","187/18723",0.00267051830455647,0.0143985445254003,0.00517705741497352,"HSPA1A/HSPA1B",2
"GO:0030308","BP","GO:0030308","negative regulation of cell growth","2/8","188/18723",0.00269865543119607,0.0144300005287922,0.00518836755366969,"HSPA1A/HSPA1B",2
"GO:0050821","BP","GO:0050821","protein stabilization","2/8","191/18723",0.00278391428475252,0.0147638732970072,0.00530841291570585,"HSPA1A/HSPA1B",2
"GO:0032872","BP","GO:0032872","regulation of stress-activated MAPK cascade","2/8","192/18723",0.00281261607750768,0.014794817903638,0.00531953917953956,"ZC3H12A/DUSP1",2
"GO:0070302","BP","GO:0070302","regulation of stress-activated protein kinase signaling cascade","2/8","195/18723",0.00289956665307028,0.0151291905204554,0.005439764264249,"ZC3H12A/DUSP1",2
"GO:0071222","BP","GO:0071222","cellular response to lipopolysaccharide","2/8","209/18723",0.00332203153290728,0.0168182663868782,0.00604707861628583,"ZC3H12A/CXCL8",2
"GO:1902905","BP","GO:1902905","positive regulation of supramolecular fiber organization","2/8","209/18723",0.00332203153290728,0.0168182663868782,0.00604707861628583,"HSPA1A/HSPA1B",2
"GO:0002685","BP","GO:0002685","regulation of leukocyte migration","2/8","210/18723",0.00335325558563723,0.0168182663868782,0.00604707861628583,"DUSP1/CXCL8",2
"GO:0031396","BP","GO:0031396","regulation of protein ubiquitination","2/8","210/18723",0.00335325558563723,0.0168182663868782,0.00604707861628583,"HSPA1A/HSPA1B",2
"GO:0045637","BP","GO:0045637","regulation of myeloid cell differentiation","2/8","210/18723",0.00335325558563723,0.0168182663868782,0.00604707861628583,"HSPA1A/HSPA1B",2
"GO:0097191","BP","GO:0097191","extrinsic apoptotic signaling pathway","2/8","219/18723",0.00364052609975417,0.0180278942873126,0.00648200542991309,"HSPA1A/HSPA1B",2
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","2/8","220/18723",0.00367313821710092,0.0180278942873126,0.00648200542991309,"DUSP1/CXCL8",2
"GO:0071219","BP","GO:0071219","cellular response to molecule of bacterial origin","2/8","221/18723",0.00370588862474896,0.0180278942873126,0.00648200542991309,"ZC3H12A/CXCL8",2
"GO:1903050","BP","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","2/8","221/18723",0.00370588862474896,0.0180278942873126,0.00648200542991309,"HSPA1A/HSPA1B",2
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation","2/8","223/18723",0.00377180393621494,0.0180767196054153,0.00649956077897468,"ZC3H12A/CXCL8",2
"GO:0050920","BP","GO:0050920","regulation of chemotaxis","2/8","223/18723",0.00377180393621494,0.0180767196054153,0.00649956077897468,"DUSP1/CXCL8",2
"GO:2001234","BP","GO:2001234","negative regulation of apoptotic signaling pathway","2/8","224/18723",0.00380496865276223,0.0181015788113027,0.00650849901130382,"HSPA1A/HSPA1B",2
"GO:0051495","BP","GO:0051495","positive regulation of cytoskeleton organization","2/8","226/18723",0.00387171173959752,0.0182846532519678,0.00657432419862506,"HSPA1A/HSPA1B",2
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","2/8","230/18723",0.00400684991048286,0.0187857383484233,0.00675449145855615,"DUSP1/CXCL8",2
"GO:0045732","BP","GO:0045732","positive regulation of protein catabolic process","2/8","231/18723",0.0040409780743751,0.0188094447059043,0.00676301517937825,"HSPA1A/HSPA1B",2
"GO:0032271","BP","GO:0032271","regulation of protein polymerization","2/8","233/18723",0.00410964609427147,0.018992435878526,0.00682881042732328,"HSPA1A/HSPA1B",2
"GO:0031334","BP","GO:0031334","positive regulation of protein-containing complex assembly","2/8","237/18723",0.00424862629229594,0.0194954695823793,0.00700967831726318,"HSPA1A/HSPA1B",2
"GO:0051403","BP","GO:0051403","stress-activated MAPK cascade","2/8","239/18723",0.00431893698025379,0.0196785368043958,0.00707550090908887,"ZC3H12A/DUSP1",2
"GO:0032886","BP","GO:0032886","regulation of microtubule-based process","2/8","240/18723",0.00435429714579641,0.0197009108624495,0.00708354559603245,"HSPA1A/HSPA1B",2
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus","2/8","246/18723",0.00456931978668177,0.0205086902806991,0.00737398609295453,"ZC3H12A/CXCL8",2
"GO:0031098","BP","GO:0031098","stress-activated protein kinase signaling cascade","2/8","247/18723",0.00460563296836291,0.0205086902806991,0.00737398609295453,"ZC3H12A/DUSP1",2
"GO:0045926","BP","GO:0045926","negative regulation of growth","2/8","249/18723",0.0046786665612961,0.0205086902806991,0.00737398609295453,"HSPA1A/HSPA1B",2
"GO:0051132","BP","GO:0051132","NK T cell activation","1/8","11/18723",0.00469132327904709,0.0205086902806991,0.00737398609295453,"HSPH1",1
"GO:2000320","BP","GO:2000320","negative regulation of T-helper 17 cell differentiation","1/8","11/18723",0.00469132327904709,0.0205086902806991,0.00737398609295453,"ZC3H12A",1
"GO:1903362","BP","GO:1903362","regulation of cellular protein catabolic process","2/8","255/18723",0.00490101851017866,0.021221810344351,0.00763039141967228,"HSPA1A/HSPA1B",2
"GO:0034976","BP","GO:0034976","response to endoplasmic reticulum stress","2/8","256/18723",0.0049385503261031,0.021221810344351,0.00763039141967228,"HSPA1A/CXCL8",2
"GO:0051091","BP","GO:0051091","positive regulation of DNA-binding transcription factor activity","2/8","260/18723",0.00509002608224434,0.021221810344351,0.00763039141967228,"HSPA1A/HSPA1B",2
"GO:0010587","BP","GO:0010587","miRNA catabolic process","1/8","12/18723",0.00511685071672141,0.021221810344351,0.00763039141967228,"ZC3H12A",1
"GO:0090085","BP","GO:0090085","regulation of protein deubiquitination","1/8","12/18723",0.00511685071672141,0.021221810344351,0.00763039141967228,"ZC3H12A",1
"GO:0097201","BP","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","1/8","12/18723",0.00511685071672141,0.021221810344351,0.00763039141967228,"HSPA1A",1
"GO:2000317","BP","GO:2000317","negative regulation of T-helper 17 type immune response","1/8","12/18723",0.00511685071672141,0.021221810344351,0.00763039141967228,"ZC3H12A",1
"GO:2000628","BP","GO:2000628","regulation of miRNA metabolic process","1/8","12/18723",0.00511685071672141,0.021221810344351,0.00763039141967228,"ZC3H12A",1
